SPR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
11314;Chief of Navy;安东尼奥 劳尔 弗内斯-加西亚 ;39;SL;Base Control Doctrine;Medium;M11314;x
11316;Chief of Navy;米盖尔 布瑞扎 帕拉西奥斯 ;36;SC;Indirect Approach Doctrine;Medium;M11311;x
11317;Chief of Navy;米盖尔 马诺拉 加马佐 ;38;SC;Decisive Naval Battle Doctrine;Medium;M11073;x
11319;Chief of Navy;弗朗西斯科 努内斯 德 奥兰纳塔 ;36;PA;Base Control Doctrine;High;M11019;x
11321;Chief of Air Force;伊格纳西奥 海德尔格 德 西斯纳罗斯 ;36;LWR;Air Superiority Doctrine;High;M11030;x
11322;Chief of Air Force;佩德罗 菲尔南德兹 切卡 ;38;ST;Army Aviation Doctrine;Medium;M11299;x
11323;Chief of Air Force;维森特 乌里维 加尔蒂诺 ;38;ST;Vertical Envelopment Doctrine;Medium;M11114;x
11324;Chief of Air Force;胡安 莱兹 桑切斯 ;36;LE;Army Aviation Doctrine;Medium;M11119;x
11325;Chief of Air Force;胡安 贝里斯 ;37;LE;Carpet Bombing Doctrine;Medium;M11123;x
11326;Chief of Air Force;文图拉 加索尔 罗瓦 ;39;LE;Vertical Envelopment Doctrine;Medium;M11326;x
11327;Chief of Air Force;马丽亚诺 瓦奎兹 罗德里格斯 ;43;LE;Air Superiority Doctrine;Very High;M11206;x
11329;Chief of Air Force;特列弗 古兹 圣 何塞 ;37;LWR;Vertical Envelopment Doctrine;High;M11329;x
11331;Chief of Air Force;因达莱西奥 彼尔托 图尔洛 ;43;LWR;Army Aviation Doctrine;High;M11331;x
11332;Chief of Air Force;菲利普 德兹 桑迪诺 ;36;SD;Army Aviation Doctrine;Medium;M11332;x
11333;Chief of Air Force;路易斯 康帕尼斯 乔夫 ;37;SD;Naval Aviation Doctrine;Medium;M11310;x
11334;Chief of Air Force;安格尔 卡马乔 贝尼特斯 ;38;SD;Air Superiority Doctrine;Medium;M11334;x
11335;Chief of Air Force;胡里奥 加斯特 吉勒诺 ;41;SD;Vertical Envelopment Doctrine;Medium;M11335;x
11336;Chief of Air Force;马丁 莱约拉加 德 马丁兹 ;43;SD;Carpet Bombing Doctrine;Medium;M11336;x
11340;Chief of Air Force;阿尔弗雷多 金德莱 杜安伊 ;36;SC;Carpet Bombing Doctrine;High;M11020;x
11343;Chief of Air Force;艾米里奥 赫雷拉 ;36;PA;Army Aviation Doctrine;Medium;M11145;x
11344;Chief of Air Force;迭戈 海德尔格 迪安 ;38;PA;Air Superiority Doctrine;High;M11101;x
