GER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
276;Chief of Army;瓦尔特 布赫;45;PA;Elastic Defence Doctrine;High;M_GER_Walther_Buhle;x
277;Minister of Security;迪特里希·冯· 克里提兹;43;FA;Compassionate Gentleman;High;M_GER_DietrichvonCholtitz;x
278;Chief of Staff;迪特里希·冯· 克里提兹;42;FA;School of Defence;High;M_GER_DietrichvonCholtitz;x
279;Head of Military Intelligence;威廉·布格多夫;45;NS;Political Specialist;High;M_GER_Wilhelm_Burgdorf;x
280;Chief of Staff;威廉·布格多夫;44;NS;School of Mass Combat;High;M_GER_Wilhelm_Burgdorf;x
281;Chief of Army;威廉·布格多夫;46;NS;Decisive Battle Doctrine;High;M_GER_Wilhelm_Burgdorf;x
282;Chief of Army;弗朗兹·拜尔;46;SC;Armoured Spearhead Doctrine;Very High;MIN_GER_DrFranzBeyer;x
283;Chief of Staff;卡尔·阿尔门丁格;41;PA;School of Fire Support;High;M_GER_Karl_Allmendinger;x
284;Head of Military Intelligence;理查德·瓦尔特 达尔;36;NS;Industrial Specialist;High;M_GER_RichardWaltherDarre;x
285;Head of Military Intelligence;卡尔·恩斯特 豪森弗;36;FA;Industrial Specialist;High;M_GER_KarlEHaushofer;x
286;Minister of Security;理查德·瓦尔特 达尔;38;NS;Efficient Sociopath;High;M_GER_RichardWaltherDarre;x
287;Chief of Staff;弗里德里希 - 威廉·豪克;46;PA;School of Fire Support;Medium;M_GER_Friedrich-Wilhelm Hauck;x
288;Chief of Air Force;欧根 梅德尔;42;PA;Vertical Envelopment Doctrine;High;M_GER_Eugen_Meindl;x
289;Head of Military Intelligence;阿尔伯特 帕侬;40;FA;Logistics Specialist;High;M_GER_Albert_Praun;x
290;Chief of Staff;马克西米利安·冯·魏克斯;39;FA;School of Fire Support;High;M_GER_MaximilianvonWeichs;x
291;Chief of Army;马克西米利安·冯·魏克斯;42;FA;Decisive Battle Doctrine;High;M_GER_MaximilianvonWeichs;x
292;Chief of Staff;奥托·斯科尔兹内;47;FA;School of Psychology;High;M_GER_Skorzeny;x
293;Chief of Air Force;布鲁诺·布劳;41;PA;Vertical Envelopment Doctrine;High;M_GER_Bruno_Br鋟er;x
294;Chief of Army;瓦尔特 温克;45;PA;Armoured Spearhead Doctrine;High;M_GER_WaltherWenck;x
295;Chief of Staff;瓦尔特 温克;45;PA;School of Manoeuvre;High;M_GER_WaltherWenck;x
296;Chief of Staff;汉斯 罗丁格;46;FA;School of Fire Support;High;M_GER_HansR鰐tiger;x
297;Chief of Staff;沃尔特 瓦里蒙;45;FA;School of Fire Support;High;M_GER_WalterWarlimont;x
298;Chief of Army;沃尔特 瓦里蒙;46;FA;Elastic Defence Doctrine;High;M_GER_WalterWarlimont;x
299;Minister of Armament;沃尔特 瓦里蒙;48;FA;Military Entrepreneur;High;M_GER_WalterWarlimont;x
300;Foreign Minister;赫尔曼·埃塞尔;40;NS;Ideological Crusader;High;M_GER_Herman_Essr;x
301;Minister of Armament;赫尔曼·埃塞尔;40;NS;Laissez Faires Capitalist;High;M_GER_Herman_Essr;x
302;Head of Government;赫尔曼·埃塞尔;36;NS;Corporate Suit;High;M_GER_Herman_Essr;x
303;Foreign Minister;迪特里希·冯· 克里提兹;47;FA;General Staffer;High;M_GER_DietrichvonCholtitz;x
304;Minister of Security;格特鲁德 斯科茨 -克林克;43;NS;Man of the People;High;M_GER_Gertrud Scholtz-Klink;x
305;Foreign Minister;格特鲁德 斯科茨 -克林克;47;NS;The Cloak N Dagger Schemer;High;M_GER_Gertrud Scholtz-Klink;x
306;Minister of Security;卡尔·瓦尔;44;NS;Compassionate Gentleman;High;M_GER_KarlWahl;x
307;Chief of Staff;约翰·汉斯希勒姆尔;43;PA;School of Psychology;High;M_GER_Johann_Hans_Schlemmer;x
308;Chief of Air Force;卡尔 - 海因里希 布登查兹;44;FA;Carpet Bombing Doctrine;High;M_GER_Karl-HeinrichBodenschatz;x
309;Chief of Army;约翰·汉斯希勒姆尔;49;PA;Decisive Battle Doctrine;High;M_GER_Johann_Hans_Schlemmer;x
311;Chief of Army;阿道夫 霍伊辛格 ;47;PA;Armoured Spearhead Doctrine;Low;Heusinger_Adolf_ger;x
312;Minister of Security;威廉 夏帕宁;43;NS;Man of the People;High;M_GER_WilhelmSchepmann;x
313;Chief of Staff;威廉 夏帕宁;43;NS;School of Mass Combat;High;M_GER_WilhelmSchepmann;x
314;Minister of Security;赫尔曼·奥托 费格莱因;47;NS;Back Stabber;High;M_GER_HermannFegelein;x
315;Chief of Staff;赫尔曼·奥托 费格莱因;50;NS;School of Manoeuvre;High;M_GER_HermannFegelein;x
317;Minister of Armament;汉娜 雷奇;47;FA;Air Superiority Proponent;High;M_GER_HannaReitsch;x
318;Chief of Army;奥斯卡 孟泽尔;53;PA;Armoured Spearhead Doctrine;High;M_GER_Oskar_Munzel;x
319;Foreign Minister;弗朗茨·马丁·路德J;41;NS;Apologetic Clerk;High;M_GER_MartinLuther;x
320;Head of Government;安东·德雷克斯勒;36;FA;Backroom Backstabber;High;M_GER_AntonDrexler;x
321;Chief of Army;奥托·斯科尔兹内;52;FA;Elastic Defence Doctrine;High;M_GER_Skorzeny;x
322;Minister of Security;汉斯 海因里希 拉默斯 ;37;NS;Efficient Sociopath;Medium;M_GER_HansLammers;x
323;Chief of Staff;赫尔穆特 魏特宁;44;SC;School of Fire Support;High;L360;x
324;Chief of Army;赫尔穆特 魏特宁;46;SC;Armoured Spearhead Doctrine;High;L360;x
325;Chief of Army;爱德华·瓦格纳;45;NS;Guns and Butter Doctrine;Medium;L539;x
326;Minister of Security;爱德华·瓦格纳;48;NS;Efficient Sociopath;Medium;L539;x
327;Chief of Army;齐格弗里德 托马斯基;45;SC;Guns and Butter Doctrine;High;L263;x
328;Chief of Staff;齐格弗里德 托马斯基;44;SC;School of Mass Combat;High;L263;x
329;Chief of Army;哈索·冯·曼陀菲尔;45;PA;Armoured Spearhead Doctrine;High;L323;x
330;Chief of Staff;哈索·冯·曼陀菲尔;46;PA;School of Manoeuvre;High;L323;x
331;Chief of Army;哈索·冯·曼陀菲尔;50;SL;Armoured Spearhead Doctrine;High;L323;x
332;Chief of Staff;哈索·冯·曼陀菲尔;56;SL;School of Manoeuvre;High;L323;x
333;Chief of Staff;奥托·沃勒;45;SC;School of Mass Combat;High;L368;x
334;Chief of Army;奥托·沃勒;46;SC;Guns and Butter Doctrine;High;L368;x
335;Chief of Staff;赫尔曼·尼霍夫;45;SC;School of Defence;Medium;L208;x
336;Minister of Security;奥托·迪特里希;38;FA;Crime Fighter;High;M_GER_Dietrich;x
337;Chief of Staff;汉斯·古斯塔夫费尔贝;36;FA;School of Defence;Medium;L56;x
