 ;HEARTS OF IRON! Doomsday;;;;;;;;;;x
DESC_BUILDING_PLANT_SYN_OIL;合成燃料工厂把能源转化为燃料。 ;;;;;;;;;;X
DESC_BUILDING_PLANT_SYN_RARE;合成材料工厂转化石油为稀有原料， 但因工序复杂，实际产出非常有限。 ;;;;;;;;;;X
DESC_BUILDING_CIVIL_UNIVERSITY;大学是能体现你的国家里受过教育的 人口中心。建筑他们可能增加你100％ ％以上的高技术研究经费。 ;;;;;;;;;;X
DESC_D04;;;;;;;;;;;x
DESC_D05;;;;;;;;;;;x
DESC_D06;;;;;;;;;;;x
DESC_D07;;;;;;;;;;;x
DESC_D08;;;;;;;;;;;x
DESC_D09;;;;;;;;;;;x
DESC_D10;;;;;;;;;;;x
DESC_D11;;;;;;;;;;;x
DESC_D12;;;;;;;;;;;x
DESC_D13;;;;;;;;;;;x
DESC_D14;;;;;;;;;;;x
DESC_D15;;;;;;;;;;;x
DESC_D16;;;;;;;;;;;x
DESC_D17;;;;;;;;;;;x
DESC_D18;;;;;;;;;;;x
DESC_D19;;;;;;;;;;;x
DESC_D20;;;;;;;;;;;x
DESC_D21;;;;;;;;;;;x
DESC_D22;;;;;;;;;;;x
DESC_D23;;;;;;;;;;;x
DESC_D24;;;;;;;;;;;x
DESC_D25;;;;;;;;;;;x
##;;;;;;;;;;;x
UNIT_NAVAL_STAND_GROUND;决一死战\n 单位将会不论成败持续交战，尽可能久地坚持 ;;;;;;;;;;X
HPROV_IRO_AIRPORT;当前机场等级： ;;;;;;;;;;X
HPROV_IRO_NAVALPORT;当前海军基地等级： ;;;;;;;;;;X
HPROV_IRO_RADAR;当前雷达站等级： ;;;;;;;;;;X
DESC_BUILDING_PLANT_NUCLEAR_POWER;核电站运用核裂变的先进技术产生出大量的能源。 ;;;;;;;;;;X
DESC_CONVOY;输送船能运送各种物资，贸易、资源转移和补给任 务都要用到。 ;;;;;;;;;;X
UIW_SENDFORCE;点击派遣此单位给当前省份的控制者 ;;;;;;;;;;X
CURR_GEARINGBONUS;流水线生产加成:%.0f/%.0f ;;;;;;;;;;X
UIW_MERGE_AIR_DIS_IRO;你只能把同一省里的未发生战斗的单位合并成一个军团。 空军编队不能多于４个师。 ;;;;;;;;;;X
EYRBOMBERSFROM;航空器 ;;;;;;;;;;X
CORE_SCREENS;%d艘主力舰和%d艘小型舰。 ;;;;;;;;;;X
EYR_REDPLOYING_TO;(开始重新部署) ;;;;;;;;;;X
#;;;;;;;;;;;x
WHICH_TYPE_LAND;陆军 ;;;;;;;;;;X
WHICH_TYPE_AIR;空军 ;;;;;;;;;;X
WHICH_TYPE_NAVAL;海军 ;;;;;;;;;;X
##;;;;;;;;;;;x
EYRARMIES_ST;陆军统计列表 ;;;;;;;;;;X
EYRFLEETS_ST;海军统计列表 ;;;;;;;;;;X
EYRAIR_ST;空军统计列表 ;;;;;;;;;;X
EYRBRIGADESHORT;加强团 ;;;;;;;;;;X
EYR_C_MONEY;金钱 ;;;;;;;;;;X
#;;;;;;;;;;;x
CRB_MINMOD;不同的部长能为战斗中的部队带来不同的修正效果 ;;;;;;;;;;X
#;;;;;;;;;;;x
TCHAT_ALL;各方 ;;;;;;;;;;X
TCHAT_COOP;合作 ;;;;;;;;;;X
TCHAT_ALLIES;盟国 ;;;;;;;;;;X
TCHAT_ENEMY;敌方 ;;;;;;;;;;X
TCHAT_CUSTOM;定制 ;;;;;;;;;;X
#;;;;;;;;;;;x
SINGLEUNITN;你只能分别对这些海军单位下命令，因为他们的性质或作战 半径不同。 ;;;;;;;;;;X
REORG_AIR_CAP_SIZE;你不能堆叠超过%d个空军联队 ;;;;;;;;;;X
DISBAND_BRIGADE;点击可解散这个加强团 ;;;;;;;;;;X
ALREADY_UNDERDEV;开发进度: %d ;;;;;;;;;;X
NOT_IN_SUPPLY_NO_BUILD;在无法补给的地区不能建造任何设施 ;;;;;;;;;;X
NEXTPART;下一次将开始于：%s \n ;;;;;;;;;;X
SERIESFINISHED;序列将在：%s完成 ;;;;;;;;;;X
TRADE_SLIDE_LIMIT;他们最多能提供%.1f。我们最多能交易%.1f。 ;;;;;;;;;;X
DEL_SLIDER_SUPPLIES2;我们每天生产%.2f补给。 \n我们的部队每天至少需要%.2f的补给。 \n我们每天通过贸易获得%.2f的补给。 \n我们每天卖出%.2f的补给。 ;;;;;;;;;;X
MANPOWER_IC_USE;在本剧本中你将有%.1f点IC用于补充兵源。 ;;;;;;;;;;X
#;;;;;;;;;;;x
LEAVECURRENT;(请注意你将脱离现在的联盟。) ;;;;;;;;;;X
DIPROL_INV77;傀儡政权不能邀请任何国家加入联盟。 ;;;;;;;;;;X
DIPROL_INV99;只有联盟的领导者才能邀请新的成员加盟。 ;;;;;;;;;;X
DIPROL_SE_2;你只能对你的盟国派遣远征军。 ;;;;;;;;;;X
DIPROL_GUARANTEE_NOGO;你不能保障任何国家的独立，假如你是孤立主义 (干涉主义倾向＜５)的民主政体。 ;;;;;;;;;;X
INV_DEM;%s 索要你的部分领土。 ;;;;;;;;;;X
PEACETERM_PROV2;%s(->%s) ;;;;;;;;;;X
#;;;;;;;;;;;X
ROL_TC_TECHMOD; \n 科技修正 IC->TC: %+.f ;;;;;;;;;;X
ROL_TC_MINMOD;\n 部长修正 IC->TC: %+.f \n ;;;;;;;;;;X
ROL_TC_BASES; \n 尚未配置的基地：%.2f ;;;;;;;;;;X
ROL_TC_DEVS; \n 尚未配置的地区设施：%.2f ;;;;;;;;;;X
#;;;;;;;;;;;x
ESE_AVERAGE;部队平均补给效率：%.2f\n ;;;;;;;;;;X
ESE_INFRA;基础设施：%.2f\n ;;;;;;;;;;X
ESE_HQ;HQ加成：%.2f\n ;;;;;;;;;;X
ESE_TOTAL;(平均%.2f+基础设施：%.2f)/2+HQ%.2f ;;;;;;;;;;X
#;;;;;;;;;;;x
RCDM_DIPLO;打开外交窗口 ;;;;;;;;;;X
RCDM_COUNTERS;使用军事符号 ;;;;;;;;;;X
RCDM_SPRITES;使用军事模型 ;;;;;;;;;;X
#;;;;;;;;;;;x
PARTISAN_EXPL;基本叛乱几率:%d\%%\n当前镇压了%d\%% \n ;;;;;;;;;;X
RESEARCH;研究 ;;;;;;;;;;X
AA_POWER;-(防空火力：%.0f\%%) ;;;;;;;;;;X
SYNC_ARRIVAL;同步抵达 ;;;;;;;;;;X
BASED_IN;基地:%s;;;;;;;;;;X
LOCATED_IN;%s是%s的一部分，当前在%s。 ;;;;;;;;;;X
#;;;;;;;;;;;x
CONVOY_NOTNEEDED;目的地已有足够的补给储备，今天可以不用运输了。 ;;;;;;;;;;X
CONVOY_NOPATH;通向该港口的线路完全被封锁。 ;;;;;;;;;;X
#;;;;;;;;;;;X
UIW_RETURNFORCETOUS;我方收回这支部队的指挥权 ;;;;;;;;;;X
UIW_OFFENSIVE_RETREAT;你不能对撤退中的部队下这个指令 ;;;;;;;;;;X
FLEET_COMPOSITION_IRO;主力舰和辅助舰目前的数量比能发挥 %.2f ﹪作战效率 ;;;;;;;;;;X
FLEET_COMPOSITION_DRO;你的舰队里需要至少与主力舰(CV，BB，BC，CA)数目一样的 辅助舰只(DD，CL)以保证作战效率 ;;;;;;;;;;X
#;;;;;;;;;;;x
BADWEATHER_MSG;该地区的气候过于恶劣，飞机无法执行任务 ;;;;;;;;;;X
#;;;;;;;;;;;x
STRAIT_NOT_BLOCKED;你目前不能渡过该海峡，因为 %s阻止了你的行动。 ;;;;;;;;;;X
STRAIT_BLOCKED;你目前可以渡过该海峡，只要你一直与 %s处于非战争状态。 ;;;;;;;;;;X
STRAIT_BOS;(注意博斯普鲁斯海峡是个特例，其控制者在战时 将只允许其盟友通过。) ;;;;;;;;;;X
STRAIT_CONTROLLER;%s的控制者将决定谁可以通过这个海峡 ;;;;;;;;;;X
#;;;;;;;;;;;x
NATIONAL_PROV_OF;这是%s的固有领土。 ;;;;;;;;;;X
PROV_CONTROLLED_BY;%s为%s所控制。 ;;;;;;;;;;X
PROV_ORIGOWNED_BY;%s夺取了 %s从其合法拥有者 %s。 ;;;;;;;;;;X
#########################################;;;;;;;;;;;x
######### GENERAL TEXT STRINGS #########;;;;;;;;;;;x
#########################################;;;;;;;;;;;x
DIP_BAN_FROM_ALLIANCE;逐出联盟 ;;;;;;;;;;X
DIPROL_BA_0;我们不是军事联盟的领袖，因而不能将任何国家逐出联盟。 ;;;;;;;;;;X
DIPROL_BA_1;不能把%s开除出我们的联盟。 ;;;;;;;;;;X
DIPROL_BA_2;这将把%s开除出我们的联盟。 ;;;;;;;;;;X
BAN_FROM_ALLIANCE_TITLE;把%s逐出联盟？ ;;;;;;;;;;X
SHARE_UNITS;军火贸易 ;;;;;;;;;;X
#;;;;;;;;;;;x
ABONDON_TECH;放弃学说 ;;;;;;;;;;X
#;;;;;;;;;;;x
EYRMAINTANCE;全部维护费消耗 ;;;;;;;;;;X
EYRARMYMAINTANCE;陆军维护费消耗 ;;;;;;;;;;X
EYRNAVYMAINTANCE;海军维护费消耗 ;;;;;;;;;;X
EYRAIRMAINTANCE;空军维护费消耗 ;;;;;;;;;;X
EYRNUMDIV;师的数目 ;;;;;;;;;;X
EYRSUPPLYCOST;补给的分配 ;;;;;;;;;;X
EYROILCOST;燃料的分配 ;;;;;;;;;;X
EYRREINFCOST;需要补充的人力 ;;;;;;;;;;X
EYR_ECAR;轻型航母 ;;;;;;;;;;X
EYR_NSUB;核潜艇 ;;;;;;;;;;X
EYR_ARMY;陆军 ;;;;;;;;;;X
EYR_NAVY;海军 ;;;;;;;;;;X
EYR_AIRFORCE;空军 ;;;;;;;;;;X
EYR_LANDBATTLES;陆战 ;;;;;;;;;;X
EYR_NAVALBATTLES;海战 ;;;;;;;;;;X
EYR_RESULT;结果 ;;;;;;;;;;X
EYR_ROLE;角色 ;;;;;;;;;;X
EYR_OURSIZE;我方规模 ;;;;;;;;;;X
EYR_THEIRSIZE;敌方规模 ;;;;;;;;;;X
EYR_STARTDATE;开始日期 ;;;;;;;;;;X
EYR_ENDDATE;结束日期 ;;;;;;;;;;X
EYR_PROVINCE;地区 ;;;;;;;;;;X
EYR_OURLOSSES;我方损失 ;;;;;;;;;;X
EYR_THEIRLOSSES;敌方损失 ;;;;;;;;;;X
EYRMISSION;任务 ;;;;;;;;;;X
EYRUNDEPLOYED;未部署的部队 ;;;;;;;;;;X
#;;;;;;;;;;;x
HIST_WINNING;获胜 ;;;;;;;;;;X
HIST_LOSING;失败 ;;;;;;;;;;X
HIST_DIVISION;师级 ;;;;;;;;;;X
HIST_CORPS;军级 ;;;;;;;;;;X
HIST_ARMY;集团军级 ;;;;;;;;;;X
HIST_ARMYG;集团军群级 ;;;;;;;;;;X
HIST_FLOTTILA;小型编队 ;;;;;;;;;;X
HIST_SMALLFLEET;小型舰队 ;;;;;;;;;;X
HIST_LARGEFLEET;大型舰队 ;;;;;;;;;;X
HIST_LEAD;指挥 ;;;;;;;;;;X
HIST_PART;参与 ;;;;;;;;;;X
HIST_DATE;%s ;;;;;;;;;;X
HIST_DATE2;%s～%s ;;;;;;;;;;X
HIST_ATTACK;进攻 ;;;;;;;;;;X
HIST_DEFENSE;防御 ;;;;;;;;;;X
HIST_LEADERLAND;%s了%s的%s %s战役。会战规模：%s 作战时间：%s 敌方：%s ;;;;;;;;;;X
HIST_LEADERNAVAL;%s了%s的海战。战斗海域：%s 海战规模：%s 作战时间：%s 敌方：%s ;;;;;;;;;;X
HIST_WE;我方 ;;;;;;;;;;X
HIST_THEY;敌方 ;;;;;;;;;;X
HIST_LOSTSHIP;%s沉没 ;;;;;;;;;;X
#;;;;;;;;;;;x
BUTTON_INT;情报服务 ;;;;;;;;;;X
#;;;;;;;;;;;x
CAN_REINFORCE_UNIT;点击此处设置是否补充该单位中的部队 ;;;;;;;;;;X
CAN_UPGRADE_UNIT;点击此处设置是否升级该单位中的部队 ;;;;;;;;;;X
UPGRADEICON_IRO;该单位不能被升级 ;;;;;;;;;;X
REINFORCEICON_IRO;该单位不能被补充 ;;;;;;;;;;X
#;;;;;;;;;;;x
AUTOTRADECREATE;自动发起交易 ;;;;;;;;;;X
AUTOTRADEREPLY;自动回应交易 ;;;;;;;;;;X
AUTOTRADECREATE_TOOLTIP;该窗口将切换ＡＩ是否会替你提出新贸易协定 ;;;;;;;;;;X
AUTOTRADEREPLY_TOOLTIP;该窗口将切换ＡＩ是否会替你回应新贸易协定 ;;;;;;;;;;X
AUTOSLIDERS;自动设定生产滑块 ;;;;;;;;;;X
AUTOSLIDERS_TOOLTIP;选择此选项将让AI控制你的国家的生产 ;;;;;;;;;;X
AUTOPRIOPROD;优先生产 ;;;;;;;;;;X
AUTOPRIOPROD_TOOLTIP;选择此选项将优先生产，其次升级和补充。 ;;;;;;;;;;X
AUTOPRIOUPGRADE;优先升级 ;;;;;;;;;;X
AUTOPRIOUPGRADE_TOOLTIP;选择此选项将优先升级，其次生产，补充相对再次要些。 ;;;;;;;;;;X
AUTOPRIOREINFORCE;优先补充 ;;;;;;;;;;X
AUTOPRIOREINFORCE_TOOLTIP;选择此选项将优先补充，其次生产，升级相对再次要些。 ;;;;;;;;;;X
AUTO_PROD_BUTTON;自动控制窗口 ;;;;;;;;;;X
AUTOPRIODISABLED;你必须选择自动管理以使用这些设置 ;;;;;;;;;;X
AUTOWINDOWTITLE;自动控制生产和贸易选项 ;;;;;;;;;;X
#;;;;;;;;;;;x
EMPTYLINE; ;;; ;;;; ;;;x
RULES_INT_DISABLED_IRO;本关情报机关不起作用。 ;;;;;;;;;;X
RULES_INT_DISABLED_DRO;这意味着由于剧情限制，情报机构不能提供帮助。 ;;;;;;;;;;X
BUTTON_INT_IRO;该窗口用于策划你的隐秘行动。 ;;;;;;;;;;X
BUTTON_INT_DRO;;;;;;;;;;;x
#;;;;;;;;;;;x
RCDM_INTELLIGENCE;开展情报活动 ;;;;;;;;;;X
#;;;;;;;;;;;x
MUW_LAND;%d集团军／%d师 ;;;;;;;;;;X
MUW_AIR;%d空军联队／%d大队 ;;;;;;;;;;X
MUW_SEA;%d舰队／%d支队 ;;;;;;;;;;X
UIW_EXPERIENCE_VALUE;经验 ;;;;;;;;;;X
ABONDON_OK;好的 ;;;;;;;;;;X
ABONDON_CANCEL;取消 ;;;;;;;;;;X
ABONDON_DOCTRINE_Q2;你真的要放弃%s？ ;;;;;;;;;;X
DIW_OFFENSIVE;提供%d天攻势需要的补给 ;;;;;;;;;;X
RCDM_MERGE_TRADE_AGREEMENT;合并同%s的所有交易 ;;;;;;;;;;X
RCDM_MERGE_TRADE_AGREEMENT_ALL;合并同所有国家的交易 ;;;;;;;;;;X
#EOF;;;;;;;;;;;x
