From;To;Type;Through;Comment
##############################################################################;;;;
739;4014;River;0;Guaymas
743;4014;River;0;Guaymas
755;756;River;0;Usumacinta
4017;756;River;0;Usumacinta
4017;664;River;0;Usumacinta
758;756;River;0;Chetumal
758;4018;River;0;Chetumal
807;4020;River;0;Bluefields
4021;4020;River;0;Bluefields
893;894;River;0;Ciudad Trujillo
##############################################################################;;;;
# 尼罗河 The Nile ;;;;
##############################################################################;;;;
3289;906;River;0;尼罗河 The Nile
3289;3286;River;0;尼罗河 The Nile
3289;3288;River;0;尼罗河 The Nile
904;902;River;0;尼罗河 The Nile
904;3288;River;0;尼罗河 The Nile
904;3286;River;0;尼罗河 The Nile
904;3287;River;0;尼罗河 The Nile
902;3287;River;0;尼罗河 The Nile
903;3287;River;0;尼罗河 The Nile
905;903;River;0;尼罗河 The Nile
905;3292;River;0;尼罗河 The Nile
3293;3292;River;0;尼罗河 The Nile
1023;3292;River;0;尼罗河 The Nile
1023;1024;River;0;尼罗河 The Nile
1027;1024;River;0;尼罗河 The Nile
#1027;1026;River;0;尼罗河 The Nile
3294;1026;River;0;尼罗河 The Nile
3335;1028;River;0;尼罗河 The Nile
1029;1028;River;0;尼罗河 The Nile
1032;1028;River;0;尼罗河 The Nile
1032;1031;River;0;尼罗河 The Nile
1032;3337;River;0;尼罗河 The Nile
1032;1066;River;0;尼罗河 The Nile
1042;1048;River;0;尼罗河 The Nile
1042;1039;River;0;尼罗河 The Nile
1042;1040;River;0;尼罗河 The Nile
1043;1044;River;0;尼罗河 The Nile
1046;1044;River;0;尼罗河 The Nile
1047;1044;River;0;尼罗河 The Nile
1047;1041;River;0;尼罗河 The Nile
1066;1041;River;0;尼罗河 The Nile
1040;1041;River;0;尼罗河 The Nile
1040;3337;River;0;尼罗河 The Nile
1031;3337;River;0;尼罗河 The Nile
1066;3337;River;0;尼罗河 The Nile
1066;3336;River;0;尼罗河 The Nile
1065;3336;River;0;尼罗河 The Nile
1065;3338;River;0;尼罗河 The Nile
1065;3343;River;0;尼罗河 The Nile
1045;3343;River;0;尼罗河 The Nile
3338;3343;River;0;尼罗河 The Nile
3344;3343;River;0;尼罗河 The Nile
3345;3343;River;0;尼罗河 The Nile
3347;3348;River;0;尼罗河 The Nile
3366;3348;River;0;尼罗河 The Nile
3366;3365;River;0;尼罗河 The Nile
3366;1064;River;0;尼罗河 The Nile
1071;1064;River;0;尼罗河 The Nile
1073;1064;River;0;尼罗河 The Nile
1073;3364;River;0;尼罗河 The Nile
1064;3365;River;0;尼罗河 The Nile
1064;3363;River;0;尼罗河 The Nile
1063;3363;River;0;尼罗河 The Nile
##############################################################################;;;;
# 刚果河 Congo River ;;;;
##############################################################################;;;;
1095;1096;River;0;刚果河 Congo River
1095;1142;River;0;刚果河 Congo River
1075;1142;River;0;刚果河 Congo River
1075;3383;River;0;刚果河 Congo River
1075;3374;River;0;刚果河 Congo River
3383;3374;River;0;刚果河 Congo River
1076;3383;River;0;刚果河 Congo River
1076;3374;River;0;刚果河 Congo River
1088;3374;River;0;刚果河 Congo River
1076;1088;River;0;刚果河 Congo River
1076;1074;River;0;刚果河 Congo River
1076;1072;River;0;刚果河 Congo River
1078;1072;River;0;刚果河 Congo River
1070;1072;River;0;刚果河 Congo River
1070;1071;River;0;刚果河 Congo River
1072;1074;River;0;刚果河 Congo River
1071;1074;River;0;刚果河 Congo River
1074;1143;River;0;刚果河 Congo River
1143;1073;River;0;刚果河 Congo River
1143;1098;River;0;刚果河 Congo River
1143;1144;River;0;刚果河 Congo River
3384;1144;River;0;刚果河 Congo River
1127;3384;River;0;刚果河 Congo River
1127;1144;River;0;刚果河 Congo River
1127;1128;River;0;刚果河 Congo River
1126;1128;River;0;刚果河 Congo River
1142;3383;River;0;刚果河 Congo River
3382;3383;River;0;刚果河 Congo River
1098;3382;River;0;刚果河 Congo River
1098;1097;River;0;刚果河 Congo River
3384;1097;River;0;刚果河 Congo River
3381;1097;River;0;刚果河 Congo River
1142;3382;River;0;刚果河 Congo River
3379;3382;River;0;刚果河 Congo River
3379;1097;River;0;刚果河 Congo River
##############################################################################;;;;
# 尼日尔河 Niger River ;;;;
##############################################################################;;;;
1011;3330;River;0;尼日尔河 Niger River
1010;3330;River;0;尼日尔河 Niger River
3327;3330;River;0;尼日尔河 Niger River
1009;3330;River;0;尼日尔河 Niger River
1007;1009;River;0;尼日尔河 Niger River
1007;999;River;0;尼日尔河 Niger River
1005;3325;River;0;尼日尔河 Niger River
1005;998;River;0;尼日尔河 Niger River
3325;976;River;0;尼日尔河 Niger River
978;976;River;0;尼日尔河 Niger River
978;977;River;0;尼日尔河 Niger River
978;3322;River;0;尼日尔河 Niger River
3322;979;River;0;尼日尔河 Niger River
986;979;River;0;尼日尔河 Niger River
978;979;River;0;尼日尔河 Niger River
996;979;River;0;尼日尔河 Niger River
994;979;River;0;尼日尔河 Niger River
990;991;River;0;尼日尔河 Niger River
1010;3327;River;0;尼日尔河 Niger River
1012;3327;River;0;尼日尔河 Niger River
1012;3328;River;0;尼日尔河 Niger River
1012;1085;River;0;尼日尔河 Niger River
##############################################################################;;;;
# Minor African Rivers;;;;
##############################################################################;;;;
1130;1133;River;0;赞比西河 Zambezi
1130;1131;River;0;赞比西河 Zambezi
1130;3367;River;0;赞比西河 Zambezi
1125;1130;River;0;赞比西河 Zambezi
3367;1133;River;0;赞比西河 Zambezi
3368;1133;River;0;赞比西河 Zambezi
3368;1132;River;0;赞比西河 Zambezi
3368;3369;River;0;赞比西河 Zambezi
3359;3369;River;0;赞比西河 Zambezi
1131;3367;River;0;赞比西河 Zambezi
1131;3333;River;0;赞比西河 Zambezi
1125;1126;River;0;赞比西河 Zambezi
1126;3333;River;0;赞比西河 Zambezi
1126;3385;River;0;赞比西河 Zambezi
1128;3385;River;0;赞比西河 Zambezi
1124;1125;River;0;赞比西河 Zambezi
1125;1099;River;0;赞比西河 Zambezi
1126;1099;River;0;赞比西河 Zambezi
1126;1129;River;0;赞比西河 Zambezi
1124;1099;River;0;赞比西河 Zambezi
1105;1099;River;0;赞比西河 Zambezi
3398;1099;River;0;赞比西河 Zambezi
1104;1099;River;0;赞比西河 Zambezi
1104;1129;River;0;赞比西河 Zambezi
1105;3398;River;0;赞比西河 Zambezi
3399;3398;River;0;赞比西河 Zambezi
1104;3399;River;0;赞比西河 Zambezi
1104;3380;River;0;赞比西河 Zambezi
3381;3380;River;0;赞比西河 Zambezi
#North Africa;;;;
940;939;River;0;迈杰尔达河 Medjerda
941;939;River;0;迈杰尔达河 Medjerda
941;3311;River;0;迈杰尔达河 Medjerda
953;950;River;0;Oran
953;951;River;0;Oran
954;956;River;0;穆卢耶河 Moulouya
3319;956;River;0;穆卢耶河 Moulouya
960;958;River;0;乌姆赖比阿河 Oum er-Rbia
959;958;River;0;乌姆赖比阿河 Oum er-Rbia
967;962;River;0;德拉河 Draa
968;962;River;0;德拉河 Draa
#Horn of Africa;;;;
1049;1050;River;0;阿瓦什河 Awash
1043;1050;River;0;阿瓦什河 Awash
1046;1050;River;0;阿瓦什河 Awash
1046;1052;River;0;阿瓦什河 Awash
1058;1055;River;0;朱巴河 Jubba
1058;3350;River;0;朱巴河 Jubba
1058;3351;River;0;朱巴河 Jubba
3350;3351;River;0;朱巴河 Jubba
1052;3351;River;0;朱巴河 Jubba
3357;3351;River;0;朱巴河 Jubba
1052;1053;River;0;朱巴河 Jubba
1058;1056;River;0;谢贝利河 Shabeelle
1055;1056;River;0;谢贝利河 Shabeelle
1055;1034;River;0;谢贝利河 Shabeelle
1055;1054;River;0;谢贝利河 Shabeelle
3350;1054;River;0;谢贝利河 Shabeelle
1052;1054;River;0;谢贝利河 Shabeelle
1052;1051;River;0;谢贝利河 Shabeelle
1052;1050;River;0;谢贝利河 Shabeelle
1061;3357;River;0;Mombasa
1061;1060;River;0;Mombasa
#East Africa;;;;
3359;3361;River;0;Lindi
3359;1140;River;0;Lindi
3360;1140;River;0;Lindi
1139;1140;River;0;Lindi
3360;1138;River;0;Lindi
1139;1138;River;0;Lindi
1139;3310;River;0;Lindi
1133;1138;River;0;Lindi
1133;3310;River;0;Lindi
1130;1123;River;0;Limpopo
1122;1123;River;0;Limpopo
3393;3397;River;0;Limpopo
1111;3397;River;0;Limpopo
1111;1124;River;0;Limpopo
1111;3393;River;0;Limpopo
1112;3393;River;0;Limpopo
#Central Africa;;;;
1092;3377;River;0;Port-Gentil
1092;3376;River;0;Port-Gentil
1092;3374;River;0;Port-Gentil
3377;3376;River;0;Port-Gentil
1077;1091;River;0;Yaoundé
1077;1089;River;0;Yaoundé
1077;1087;River;0;Yaoundé
1088;1087;River;0;Yaoundé
1086;1080;River;0;Fort-Archambault
1086;1079;River;0;Fort-Archambault
3371;1079;River;0;Fort-Archambault
1080;1079;River;0;Fort-Archambault
3372;1079;River;0;Fort-Archambault
3370;1079;River;0;Fort-Archambault
3370;3372;River;0;Fort-Archambault
3370;1078;River;0;Fort-Archambault
#South Africa;;;;
1109;1115;River;0;奥兰治河 Orange
3400;1115;River;0;奥兰治河 Orange
3395;1115;River;0;奥兰治河 Orange
3395;3394;River;0;奥兰治河 Orange
3395;3386;River;0;奥兰治河 Orange
3394;3386;River;0;奥兰治河 Orange
1113;3386;River;0;奥兰治河 Orange
1113;1112;River;0;奥兰治河 Orange
1115;3394;River;0;奥兰治河 Orange
3396;3394;River;0;奥兰治河 Orange
3396;1114;River;0;奥兰治河 Orange
3394;1114;River;0;奥兰治河 Orange
1113;1114;River;0;奥兰治河 Orange
1113;3389;River;0;奥兰治河 Orange
1120;3389;River;0;奥兰治河 Orange
1120;3390;River;0;奥兰治河 Orange
3388;3390;River;0;奥兰治河 Orange
3388;3389;River;0;奥兰治河 Orange
1118;3389;River;0;奥兰治河 Orange
3396;3389;River;0;奥兰治河 Orange
1102;1108;River;0;Kunene
1102;1107;River;0;Kunene
1102;1103;River;0;Kunene
3380;1103;River;0;Menongue
3380;1107;River;0;Menongue
3380;1106;River;0;Menongue
3399;1106;River;0;Menongue
1101;1096;River;0;Kwanza
1101;3379;River;0;Kwanza
#West Africa;;;;
1085;3329;River;0;Nguru
1085;1084;River;0;Nguru
1002;3331;River;0;Volta Region
1001;3331;River;0;Volta Region
3332;3331;River;0;Volta Region
3332;1004;River;0;Volta Region
3332;1005;River;0;Volta Region
3332;1001;River;0;Volta Region
1000;1001;River;0;Volta Region
1000;3324;River;0;Volta Region
1000;996;River;0;Volta Region
997;996;River;0;Volta Region
993;992;River;0;Abidjan
993;3324;River;0;Abidjan
995;3324;River;0;Abidjan
995;996;River;0;Abidjan
982;981;River;0;Bathurst
982;984;River;0;Bathurst
982;3323;River;0;Bathurst
984;3323;River;0;Bathurst
981;973;River;0;Senegal
981;3320;River;0;Senegal
984;3320;River;0;Senegal
984;985;River;0;Senegal
3320;985;River;0;Senegal
980;985;River;0;Senegal
980;3320;River;0;Senegal
985;986;River;0;Senegal
##############################################################################;;;;
# Southeast Asian Rivers;;;;
##############################################################################;;;;######
3705;3706;River;0;红河 Hong
3704;3706;River;0;红河 Hong
1328;3706;River;0;红河 Hong
1326;1328;River;0;红河 Hong
3708;3709;River;0;Hue
2757;3714;Impassable;0;澜沧江(湄公河) Mekong
3698;3714;River;0;澜沧江(湄公河) Mekong
1303;3714;River;0;澜沧江(湄公河) Mekong
3713;3714;River;0;澜沧江(湄公河) Mekong
3713;1306;River;0;澜沧江(湄公河) Mekong
3713;1329;River;0;澜沧江(湄公河) Mekong
3726;1329;River;0;澜沧江(湄公河) Mekong
3727;1329;River;0;澜沧江(湄公河) Mekong
3727;3715;River;0;澜沧江(湄公河) Mekong
3727;1332;River;0;澜沧江(湄公河) Mekong
1341;1332;River;0;澜沧江(湄公河) Mekong
1341;3716;River;0;澜沧江(湄公河) Mekong
1336;3716;River;0;澜沧江(湄公河) Mekong
1336;3721;River;0;澜沧江(湄公河) Mekong
3717;3721;River;0;澜沧江(湄公河) Mekong
3717;3720;River;0;澜沧江(湄公河) Mekong
1340;3720;River;0;澜沧江(湄公河) Mekong
3719;3720;River;0;澜沧江(湄公河) Mekong
1338;3720;River;0;澜沧江(湄公河) Mekong
1338;1337;River;0;澜沧江(湄公河) Mekong
1343;1345;River;0;湄南河(昭披耶河) Chao Phraya
3730;1345;River;0;湄南河(昭披耶河) Chao Phraya
3730;3722;River;0;湄南河(昭披耶河) Chao Phraya
3722;1344;River;0;湄南河(昭披耶河) Chao Phraya
3722;1330;River;0;湄南河(昭披耶河) Chao Phraya
3723;1330;River;0;湄南河(昭披耶河) Chao Phraya
3723;3725;River;0;湄南河(昭披耶河) Chao Phraya
3737;3738;River;0;Johore Strait
1353;3738;River;0;Johore Strait
1295;2765;Impassable;0;怒江(萨尔温江) Salween
1295;3698;River;0;怒江(萨尔温江) Salween
1304;3698;River;0;怒江(萨尔温江) Salween
1304;3699;River;0;怒江(萨尔温江) Salween
3696;3697;River;0;怒江(萨尔温江) Salween
1302;3697;River;0;怒江(萨尔温江) Salween
1302;3723;River;0;怒江(萨尔温江) Salween
1302;1346;River;0;怒江(萨尔温江) Salween
#in china;;;;
1283;2971;River;0;怒江(萨尔温江) Salween
2758;2974;River;0;怒江(萨尔温江) Salween
2761;2974;River;0;怒江(萨尔温江) Salween
2761;2760;River;0;怒江(萨尔温江) Salween
1294;2760;River;0;怒江(萨尔温江) Salween
1294;2763;River;0;怒江(萨尔温江) Salween
2763;2765;River;0;怒江(萨尔温江) Salween
1299;1302;River;0;锡当河 Sittang
1301;1302;River;0;锡当河 Sittang
1301;3696;River;0;锡当河 Sittang
3695;3696;River;0;锡当河 Sittang
1298;1299;River;0;伊洛瓦底江 Irrawaddy
1298;1301;River;0;伊洛瓦底江 Irrawaddy
3693;1300;River;0;伊洛瓦底江 Irrawaddy
3693;3695;River;0;伊洛瓦底江 Irrawaddy
3700;1296;River;0;伊洛瓦底江 Irrawaddy
3700;1292;River;0;伊洛瓦底江 Irrawaddy
1291;1292;River;0;伊洛瓦底江 Irrawaddy
2762;1292;River;0;伊洛瓦底江 Irrawaddy
#in china;;;;
2760;2762;River;0;伊洛瓦底江 Irrawaddy
2974;2762;River;0;伊洛瓦底江 Irrawaddy
3701;1290;River;0;钦敦江 Chindwin
1290;3700;River;0;钦敦江 Chindwin
3693;3700;River;0;钦敦江 Chindwin
##############################################################################;;;;
# Chinese Rivers;;;;
##############################################################################;;;;
#1530;1374;River;0;松花江 Songhua
#1530;1379;River;0;松花江 Songhua
#2932;2930;River;0;松花江 Songhua
2932;1530;River;0;松花江 Songhua
2932;2929;River;0;松花江 Songhua
1380;2934;River;0;松花江 Songhua
1380;2900;River;0;松花江 Songhua
1387;2935;River;0;松花江 Songhua
1387;2900;River;0;松花江 Songhua
2899;2900;River;0;松花江 Songhua
2921;2900;River;0;松花江 Songhua
2899;2921;River;0;松花江 Songhua
2902;2921;River;0;松花江 Songhua
2902;2903;River;0;松花江 Songhua
2624;2904;River;0;松花江 Songhua
1378;2905;River;0;松花江 Songhua
2906;2905;River;0;松花江 Songhua
2906;2908;River;0;松花江 Songhua
2907;2908;River;0;松花江 Songhua
2907;2909;River;0;松花江 Songhua
2903;2921;River;0;松花江 Songhua
1379;2922;River;0;松花江 Songhua
2919;2922;River;0;松花江 Songhua
2919;2923;River;0;松花江 Songhua
2919;2917;River;0;松花江 Songhua
2918;1375;River;0;松花江 Songhua
2923;1374;River;0;松花江 Songhua
2924;1374;River;0;松花江 Songhua
2924;2915;River;0;松花江 Songhua
2911;1375;River;0;乌苏里江 Ussuri
2911;2917;River;0;乌苏里江 Ussuri
2911;2916;River;0;乌苏里江 Ussuri
2912;2916;River;0;乌苏里江 Ussuri
2912;2913;River;0;乌苏里江 Ussuri
2912;3559;River;0;乌苏里江 Ussuri
2912;1370;River;0;乌苏里江 Ussuri
2913;1370;River;0;乌苏里江 Ussuri
2913;1367;River;0;乌苏里江 Ussuri
2915;1367;River;0;乌苏里江 Ussuri
#;;;;
1184;3653;River;0;江戸川 Edo-gawa
1184;3654;River;0;利根川 Tone-gawa
1184;3689;River;0;利根川 Tone-gawa
3653;3689;River;0;利根川 Tone-gawa
1185;3655;River;0;天竜川 Tenryū-gawa
1185;3690;River;0;天竜川 Tenryū-gawa
1185;3659;River;0;揖斐川 Ibi-gawa
3657;3659;River;0;揖斐川 Ibi-gawa
1186;3657;River;0;揖斐川 Ibi-gawa
2909;1391;River;0;图们江 Tumen
2909;1376;River;0;图们江 Tumen
2909;3677;River;0;图们江 Tumen
2910;3677;River;0;图们江 Tumen
1372;3677;River;0;图们江 Tumen
1394;1393;River;0;鸭绿江 Yalu
1394;2891;River;0;鸭绿江 Yalu
3670;2891;River;0;鸭绿江 Yalu
3670;1377;River;0;鸭绿江 Yalu
3670;2907;River;0;鸭绿江 Yalu
1391;2907;River;0;鸭绿江 Yalu
3687;3673;River;0;大同江 Taedong
3687;1201;River;0;大同江 Taedong
3674;1201;River;0;大同江 Taedong
3671;1201;River;0;大同江 Taedong
3671;3672;River;0;大同江 Taedong
3670;3672;River;0;大同江 Taedong
3678;3675;River;0;汉江 Han(Korea)
3678;1199;River;0;汉江 Han(Korea)
3679;1199;River;0;汉江 Han(Korea)
3679;1198;River;0;汉江 Han(Korea)
3682;1198;River;0;汉江 Han(Korea)
3682;3680;River;0;汉江 Han(Korea)
3675;1199;River;0;汉江 Han(Korea)
3675;1200;River;0;汉江 Han(Korea)
3674;1200;River;0;汉江 Han(Korea)
#;;;;
2888;1395;River;0;辽河 Liao
2888;2933;River;0;辽河 Liao
1389;2933;River;0;辽河 Liao
2888;1389;River;0;辽河 Liao
1389;1401;River;0;辽河 Liao
2895;2892;River;0;辽河 Liao
1389;2887;River;0;辽河 Liao
1389;2896;River;0;辽河 Liao
2895;2896;River;0;辽河 Liao
1402;1403;River;0;辽河 Liao
2897;1403;River;0;辽河 Liao
1390;1403;River;0;辽河 Liao
1402;2897;River;0;辽河 Liao
1402;2898;River;0;辽河 Liao
2884;2885;River;0;辽河 Liao
1388;2885;River;0;辽河 Liao
1388;2882;River;0;辽河 Liao
1388;2884;River;0;辽河 Liao
1388;2883;River;0;辽河 Liao
1388;2880;River;0;辽河 Liao
1396;2888;River;0;大凌河 Daling
1396;2914;River;0;大凌河 Daling
1396;2882;River;0;大凌河 Daling
2878;2882;River;0;大凌河 Daling
1203;2875;River;0;滦河 Luan
2673;2876;River;0;滦河 Luan
2874;2876;River;0;滦河 Luan
2874;1397;River;0;滦河 Luan
2946;1397;River;0;滦河 Luan
2946;2879;River;0;滦河 Luan
2945;2879;River;0;滦河 Luan
1204;2866;River;0;海河 Hai River
1204;2748;River;0;永定河 Yongding
1810;2748;River;0;永定河 Yongding
1810;2870;River;0;永定河 Yongding
1205;2870;Impassable;0;永定河 Yongding
1205;2793;River;0;永定河 Yongding
2871;2793;River;0;永定河 Yongding
2881;2947;River;0;永定河 Yongding
1206;2947;River;0;永定河 Yongding
1206;2819;River;0;永定河 Yongding
1209;2819;River;0;永定河 Yongding
2820;2821;River;0;永定河 Yongding
2748;2866;River;0;子牙河 Ziya
2867;2866;River;0;子牙河 Ziya
2867;2993;River;0;子牙河 Ziya
2867;2992;River;0;子牙河 Ziya
1210;2992;River;0;子牙河 Ziya
1210;1211;River;0;子牙河 Ziya
1211;2868;River;0;子牙河 Ziya
2822;2823;River;0;子牙河 Ziya
2822;2824;River;0;子牙河 Ziya
2822;2825;River;0;子牙河 Ziya
2822;2821;River;0;子牙河 Ziya
2992;2993;River;0;子牙河 Ziya
2992;2994;River;0;子牙河 Ziya
1212;2994;River;0;子牙河 Ziya
1212;1811;River;0;子牙河 Ziya
1212;1224;River;0;子牙河 Ziya
2866;2993;River;0;京杭大运河 Grand Canal
2865;2993;River;0;京杭大运河 Grand Canal
1170;2994;River;0;京杭大运河 Grand Canal
2852;2994;River;0;京杭大运河 Grand Canal
2852;2851;River;0;京杭大运河 Grand Canal
2850;1894;River;0;京杭大运河 Grand Canal
2850;2853;River;0;京杭大运河 Grand Canal
2607;2853;River;0;京杭大运河 Grand Canal
2607;2854;River;0;京杭大运河 Grand Canal
1218;2854;River;0;京杭大运河 Grand Canal
1218;2611;River;0;京杭大运河 Grand Canal
2612;2611;River;0;京杭大运河 Grand Canal
2612;2609;River;0;京杭大运河 Grand Canal
2613;2609;River;0;京杭大运河 Grand Canal
2613;2619;River;0;京杭大运河 Grand Canal
#1220;2619;River;0;京杭大运河 Grand Canal
1220;2621;River;0;京杭大运河 Grand Canal
#Huanghe;;;;
1213;2864;River;0;黄河 Yellow River
1213;1216;River;0;黄河 Yellow River
1170;1216;River;0;黄河 Yellow River
2852;1894;River;0;黄河 Yellow River
2851;1894;River;0;黄河 Yellow River
2851;2850;River;0;黄河 Yellow River
1811;2850;River;0;黄河 Yellow River
#1811;1223;River;0;黄河 Yellow River
2838;1223;River;0;黄河 Yellow River
2838;1228;River;0;黄河 Yellow River
2839;1228;River;0;黄河 Yellow River
2839;1227;River;0;黄河 Yellow River
1227;1228;River;0;洛河 Luo(Henan)
1227;2842;River;0;洛河 Luo(Henan)
2840;2841;River;0;洛河 Luo(Henan)
2836;1227;River;0;黄河 Yellow River
2836;2840;River;0;黄河 Yellow River
2835;1887;River;0;黄河 Yellow River
2835;2788;Impassable;0;黄河 Yellow River
2833;2788;Impassable;0;黄河 Yellow River
2833;2789;River;0;黄河 Yellow River
2830;2789;River;0;黄河 Yellow River
2830;2792;River;0;黄河 Yellow River
2828;2792;River;0;黄河 Yellow River
2827;1272;River;0;黄河 Yellow River
2826;1272;River;0;黄河 Yellow River
2826;2812;River;0;黄河 Yellow River
1208;2812;River;0;黄河 Yellow River
2813;2812;River;0;黄河 Yellow River
2813;2811;River;0;黄河 Yellow River
1439;2811;River;0;黄河 Yellow River
1439;2813;River;0;黄河 Yellow River
1439;2814;River;0;黄河 Yellow River
1439;2810;River;0;黄河 Yellow River
2810;2811;River;0;黄河 Yellow River
1273;2811;River;0;黄河 Yellow River
1273;2803;River;0;黄河 Yellow River
2804;2803;River;0;黄河 Yellow River
2804;2802;River;0;黄河 Yellow River
2805;2802;River;0;黄河 Yellow River
2805;2801;River;0;黄河 Yellow River
2805;1276;River;0;黄河 Yellow River
2805;2961;River;0;黄河 Yellow River
1443;2961;River;0;黄河 Yellow River
2958;2961;River;0;黄河 Yellow River
2959;2961;River;0;黄河 Yellow River
2959;1890;River;0;黄河 Yellow River
2959;2960;River;0;黄河 Yellow River
1277;2797;River;0;渭河 Wei
1277;1278;River;0;渭河 Wei
2786;1278;River;0;渭河 Wei
2786;1270;River;0;渭河 Wei
1269;1270;River;0;渭河 Wei
1269;2787;River;0;渭河 Wei
1887;2787;River;0;渭河 Wei
1887;2788;River;0;渭河 Wei
1270;2787;River;0;泾河 Jing
1270;2790;River;0;泾河 Jing
1275;2790;River;0;泾河 Jing
1275;1274;River;0;泾河 Jing
1274;2796;River;0;泾河 Jing
2788;2787;River;0;北洛河 Luo(Shaanxi)
2789;2790;River;0;北洛河 Luo(Shaanxi)
2789;2791;River;0;北洛河 Luo(Shaanxi)
1271;2791;River;0;北洛河 Luo(Shaanxi)
#2794;2791;River;0;北洛河 Luo(Shaanxi)
#2794;2796;River;0;北洛河 Luo(Shaanxi)
2833;2835;River;0;汾河 Fen
2833;2834;River;0;汾河 Fen
2830;2834;River;0;汾河 Fen
2830;2832;River;0;汾河 Fen
2829;2832;River;0;汾河 Fen
2829;1225;River;0;汾河 Fen
2829;2824;River;0;汾河 Fen
2827;2824;River;0;汾河 Fen
#;;;;
1230;2845;River;0;淮河 Huai River
1230;2847;River;0;淮河 Huai River
2848;2847;River;0;淮河 Huai River
2848;1222;River;0;淮河 Huai River
2649;1222;River;0;淮河 Huai River
2649;2650;River;0;淮河 Huai River
1884;2650;River;0;淮河 Huai River
1884;1875;River;0;淮河 Huai River
1884;2614;River;0;淮河 Huai River
2615;2614;River;0;淮河 Huai River
2615;2613;River;0;淮河 Huai River
2614;2613;Impassable;0;淮河 Huai River
1220;2613;River;0;淮河 Huai River
2619;2609;River;0;淮河 Huai River
2619;1217;River;0;淮河 Huai River
2618;1217;River;0;淮河 Huai River
1217;2609;River;0;淮河 Huai River
1217;2610;River;0;淮河 Huai River
1222;2650;River;0;颍河 Ying
1222;2652;River;0;颍河 Ying
1222;1876;River;0;颍河 Ying
2847;1876;River;0;颍河 Ying
2846;1876;River;0;颍河 Ying
2846;2847;River;0;颍河 Ying
2846;2845;River;0;颍河 Ying
2846;2844;River;0;颍河 Ying
2846;2842;River;0;颍河 Ying
1237;2622;River;0;黄浦江 
1237;2630;River;0;黄浦江  
#Changjiang;;;;
2608;2622;Sea;3622;长江 Yangtze River
2608;2625;Sea;3622;长江 Yangtze River
1219;2608;River;0;长江 Yangtze River
1219;2625;River;0;长江 Yangtze River
2621;2626;River;0;长江 Yangtze River
2621;2628;River;0;长江 Yangtze River
1220;2628;River;0;长江 Yangtze River
1235;2617;River;0;长江 Yangtze River
1234;2646;River;0;长江 Yangtze River
2645;2647;River;0;长江 Yangtze River
2645;1233;River;0;长江 Yangtze River
2693;1233;River;0;长江 Yangtze River
1252;2655;River;0;长江 Yangtze River
2658;2655;River;0;长江 Yangtze River
1253;2654;River;0;长江 Yangtze River
1253;1232;River;0;长江 Yangtze River
1253;2660;River;0;长江 Yangtze River
2659;2660;River;0;长江 Yangtze River
2659;2661;River;0;长江 Yangtze River
1256;2661;River;0;长江 Yangtze River
2671;2661;River;0;长江 Yangtze River
1886;2668;River;0;长江 Yangtze River
1886;2669;River;0;长江 Yangtze River
1266;2669;River;0;长江 Yangtze River
2766;2767;River;0;长江 Yangtze River
1265;2767;River;0;长江 Yangtze River
2773;2771;River;0;长江 Yangtze River
1263;2771;River;0;长江 Yangtze River
1263;1280;River;0;长江 Yangtze River
2774;1280;River;0;长江 Yangtze River
2774;2775;River;0;长江 Yangtze River
2774;2776;River;0;长江 Yangtze River
1362;2776;River;0;长江 Yangtze River
1362;2975;River;0;长江 Yangtze River
2746;2975;River;0;长江 Yangtze River
2754;2975;River;0;长江 Yangtze River
2754;2977;River;0;长江 Yangtze River
2754;2755;River;0;长江 Yangtze River
1293;2755;River;0;长江 Yangtze River
2756;2755;River;0;长江 Yangtze River
2756;2759;River;0;长江 Yangtze River
2758;2759;River;0;长江 Yangtze River
2758;2972;River;0;长江 Yangtze River
1283;2972;River;0;长江 Yangtze River
1283;2973;River;0;长江 Yangtze River
1444;2960;River;0;长江 Yangtze River
1252;2693;River;0;赣江 Gan
1252;1251;River;0;赣江 Gan
2690;1251;River;0;赣江 Gan
2690;2691;River;0;赣江 Gan
2689;2691;River;0;赣江 Gan
2686;2692;River;0;赣江 Gan
2687;2692;River;0;赣江 Gan
1250;2692;River;0;赣江 Gan
2699;2692;River;0;赣江 Gan
1232;2660;River;0;汉水 Han
1232;2662;River;0;汉水 Han
2663;2656;River;0;汉水 Han
2662;2657;River;0;汉水 Han
2662;2660;River;0;汉水 Han
2662;2661;River;0;汉水 Han
2662;1886;River;0;汉水 Han
2663;1886;River;0;汉水 Han
2663;1231;River;0;汉水 Han
2665;1231;River;0;汉水 Han
2665;2666;River;0;汉水 Han
2843;2666;River;0;汉水 Han
2667;2666;River;0;汉水 Han
1267;2666;River;0;汉水 Han
1267;2782;River;0;汉水 Han
2783;2782;River;0;汉水 Han
2783;1268;River;0;汉水 Han
1256;2678;River;0;湘江 Xiang
1255;2678;River;0;湘江 Xiang
1255;2679;River;0;湘江 Xiang
1257;2683;River;0;湘江 Xiang
1257;2682;River;0;湘江 Xiang
1257;2680;River;0;湘江 Xiang
2677;2680;River;0;湘江 Xiang
1258;2680;River;0;湘江 Xiang
1258;2727;River;0;漓江 Li
2728;2727;River;0;漓江 Li
1311;2726;River;0;漓江 Li
